,index,no_t_alpha,t1_alpha,t2_alpha,t3_alpha,t4_alpha,t5_alpha,no_t_ds,t1_ds,t2_ds,t3_ds,t4_ds,t5_ds
0,0,-3.3756251335144043,-0.9975822567939758,-0.23520517349243164,0.8627386093139648,-3.312255859375,-3.323549270629883,1.1912520626822638,1.1876261843020561,1.1585304007419617,1.005227936067326,1.1867090314521251,1.1890197013119062
1,1,-3.572129249572754,-0.84856778383255,-0.27964964509010315,0.8909192681312561,-3.5471885204315186,-3.54601788520813,1.2246613467319782,1.228609811238757,1.2159208777222617,1.012199875537598,1.2227132714163698,1.225487055136759
2,2,-3.7022595405578613,-0.6661652326583862,-0.12140918523073196,0.5611910820007324,-3.5444722175598145,-3.5430383682250977,1.1891339036849522,1.1619939612278805,1.153010376251617,1.004982820207291,1.1739720360277117,1.176738593273424
3,3,-3.5243327617645264,-0.9338158369064331,-0.17802581191062927,0.6553640365600586,-3.4591567516326904,-3.4644579887390137,1.1843266109938395,1.17953733194606,1.1542252140476572,1.0125303951091895,1.186749396132179,1.1859815732517398
4,4,-3.5423896312713623,-0.8211948871612549,-0.1480862945318222,0.8864319920539856,-3.4913852214813232,-3.487346649169922,1.1714511472262454,1.1904842240681497,1.160184898195261,1.0349546382012849,1.1806849911335506,1.1849081531663515
5,5,-3.5239670276641846,-0.8554806113243103,-0.15472225844860077,0.7785741686820984,-3.4870834350585938,-3.490549325942993,1.1833550523666192,1.1840379334044213,1.168983618231015,1.0289952655700045,1.1874897322432665,1.1920880672141903
6,6,-3.581334352493286,-1.035194993019104,-0.381039023399353,0.8874135613441467,-3.576099157333374,-3.575709581375122,1.2440285384359022,1.2399178121221102,1.2285453865650804,1.022219841423036,1.2400212206813845,1.2435548167206512
7,7,-3.521104574203491,-1.011185646057129,-0.2985755205154419,0.5484649538993835,-3.500753164291382,-3.480224132537842,1.2280277251466252,1.2295301935688892,1.220099019124559,1.0074444518113546,1.228612997169157,1.22957249627721
8,8,-3.567005157470703,-1.002173662185669,-0.2265784740447998,0.7902323007583618,-3.448575735092163,-3.470027208328247,1.1819916487535818,1.1992941596961488,1.158926307670083,1.0534356842268684,1.190009152395552,1.1893342070394208
9,9,-3.618386745452881,-0.8667263984680176,-0.18685784935951233,0.774387538433075,-3.5519838333129883,-3.568669319152832,1.1491697460362793,1.157304917917767,1.1153834072078612,1.0238647196939206,1.1562217592137576,1.156919104913211
10,10,-3.630985736846924,-0.8716318011283875,-0.25370270013809204,0.6615467071533203,-3.572417736053467,-3.574907064437866,1.2127958633788745,1.2130703572136972,1.1944179102516452,1.017194824768679,1.21618936535335,1.217141201913862
11,11,-3.6376500129699707,-0.9482054114341736,-0.40833136439323425,0.9468207955360413,-3.5529298782348633,-3.5558509826660156,1.2095910998908808,1.2011731296871726,1.199286920389732,1.0281320719000067,1.2094084944784045,1.2035846575873264
12,12,-3.45487380027771,-0.820330023765564,-0.17669837176799774,0.7319477796554565,-3.4646248817443848,-3.4879119396209717,1.1924569955186906,1.1901780123564052,1.1761822743290398,1.0544976247416833,1.1920787970480853,1.1966190369725747
13,13,-3.549607515335083,-0.9592276215553284,-0.3134166896343231,0.8730709552764893,-3.573021173477173,-3.5520176887512207,1.2486694699267749,1.2429397470074597,1.2367061051526556,1.0106821126910595,1.248690753466827,1.242697877437967
14,14,-3.4825172424316406,-0.9346066117286682,-0.19012412428855896,0.7167139053344727,-3.4191811084747314,-3.416963577270508,1.1945561738760853,1.2007143295751221,1.1688576567365188,1.021564185887466,1.201070077407107,1.2095964536657025
15,15,-3.5945236682891846,-1.023959755897522,-0.30938923358917236,0.6131995320320129,-3.584075450897217,-3.583747386932373,1.2192125906501685,1.2226821066656655,1.2107511609961568,0.9980031871849823,1.2184271018217605,1.2246740598493162
